,Unnamed: 0,SMILES,CAS,Name,Exposure (ng/day),Min Exposure (ng/day),Max Exposure (ng/day),ACE2,Pred_label
163,179,CCOP(OCC)OCC,122-52-1,Triethyl phosphite,0.00223,0.000749,0.00424,0,0.68624276
164,180,Cl[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,?639-58-7,Triphenyltin chloride,0.0,0.0,0.0,0,0.97400033
165,181,O=C1c2ccccc2C(=O)N1SC(Cl)(Cl)Cl,133-07-3,Folpet,0.00428,0.00144,0.00813,0,0.8888646
166,182,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,53-19-0,"O,p'-DDD",1.51e-05,5.08e-06,2.87e-05,0,0.8857294
167,183,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,60-57-1,Dieldrin,0.00028,9.41e-05,0.000533,0,0.7754884
168,184,Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,2051-24-3,PCB 209,1.97e-06,6.59e-07,3.73e-06,0,0.38439643
169,185,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,319-84-6,Hexachlorocyclohexanes,5.27e-05,1.77e-05,0.0001,0,0.7096746
170,186,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,118-74-1,Hexachlorobenzene,2e-05,6.71e-06,3.8e-05,0,0.39849958
171,187,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,319-85-7,Lindane,0.0,0.0,0.0,0,0.7096746
172,188,Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,3268-87-9,OCDD,4.7e-05,1.58e-05,8.93e-05,0,0.43213257
173,189,ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)C(Cl)C3C1(Cl)C2(Cl)Cl,5103-73-1,Trans-nonachlor,6.33e-06,2.12e-06,1.2e-05,0,0.5085486
174,190,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,76-44-8,Heptachlor,5.78e-05,1.94e-05,0.00011,0,0.5919954
175,191,ClC1=C(Cl)C2(Cl)C3C4OC4(Cl)C(Cl)C3C1(Cl)C2(Cl)Cl,27304-13-8,Oxychlordane,5.6e-06,1.88e-06,1.06e-05,0,0.7947475
176,192,Clc1cc(Br)c2[nH]c3c(Br)cc(Cl)cc3c2c1,100131-03-1,"1,8-Dibromo-3,6-dichloro-9H-carbazole",4.06e-06,1.36e-06,7.71e-06,0,0.81147826
177,193,Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,35694-08-7,PCB 194,9.64e-06,3.23e-06,1.83e-05,0,0.80222785
178,194,Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2)cc(Cl)c1Cl,32774-16-6,PCB 169,4.31e-08,1.44e-08,8.18e-08,0,0.86192816
179,195,Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc(Cl)c1Cl,39635-31-9,PCB 189,1.97e-07,6.59e-08,3.73e-07,0,0.83221984
180,196,Clc1cc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2)cc1Cl,52663-72-6,PCB 167,2.65e-06,8.9e-07,5.04e-06,0,0.8634985
181,197,Clc1cc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,35065-29-3,PCB 180,0.000243,8.14e-05,0.000461,0,0.9120251
182,198,Clc1cc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,35065-27-1,PCB 153,0.000283,9.5e-05,0.000538,0,0.84061396
183,199,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,608-93-5,Pentachlorobenzene,3.09e-05,1.04e-05,5.86e-05,0,0.7478138
184,200,Clc1cc(Cl)c2[nH]c3c(Cl)cc(Cl)cc3c2c1,58910-96-6,"1,3,6,8-Tetrachloro-9H-carbazole",1.89e-05,6.35e-06,3.59e-05,0,0.76435137
185,201,Clc1cc2[nH]c3cc(Cl)c(Cl)cc3c2cc1Cl,,"2,3,6,7-Tetrachloro-9H-carbazole",1.12e-05,3.77e-06,2.13e-05,0,0.7857314
186,202,ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,57-74-9,Chlordane,0.000125,4.18e-05,0.000237,0,0.70886874
187,203,Clc1cc2c(c(Cl)c1Cl)Oc1cc(Cl)c(Cl)c(Cl)c1O2,57653-85-7,"1,2,3,6,7,8-HxCDD",4.88e-07,1.64e-07,9.27e-07,0,0.8715104
188,204,Clc1cc2oc3cc(Cl)c(Cl)cc3c2cc1Cl,51207-31-9,"2,3,7,8-TCDF",2.47e-07,8.3e-08,4.7e-07,0,0.89148
189,205,Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2)c(Cl)c1,65510-44-3,PCB 123,3.08e-07,1.03e-07,5.85e-07,0,0.9186768
190,206,Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,35065-30-6,PCB 170,0.000323,0.000108,0.000613,0,0.8707386
191,207,Clc1cc(-c2ccc(Cl)c(Cl)c2Cl)cc(Cl)c1Cl,69782-90-7,PCB 157,4.91e-07,1.65e-07,9.33e-07,0,0.9355484
192,208,Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2)cc1,70362-50-4,PCB 81,4.3e-07,1.44e-07,8.16e-07,0,0.8994127
193,209,Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1,74472-37-0,PCB 114,4.32e-07,1.45e-07,8.21e-07,0,0.9371955
194,210,Clc1ccc(-c2ccc(Cl)cc2Cl)cc1,7012-37-5,PCB 28,2.3e-05,7.72e-06,4.37e-05,0,0.8183931
195,211,Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2)cc1Cl,57465-28-8,PCB 126,2.62e-07,8.79e-08,4.97e-07,0,0.8707558
196,212,Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,38380-08-4,PCB 156,4.33e-06,1.45e-06,8.22e-06,0,0.96058047
197,213,Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,31508-00-6,PCB 118,1.15e-05,3.86e-06,2.18e-05,0,0.91727227
198,214,Clc1ccc(-c2ccc(Cl)c(Cl)c2)cc1Cl,32598-13-3,PCB 77,1.84e-06,6.16e-07,3.49e-06,0,0.73291975
199,215,Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)cc1Cl,32598-14-4,PCB 105,4.71e-06,1.58e-06,8.94e-06,0,0.9479928
200,216,Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)c1,2051-62-9,PCB 101,6.08e-05,2.04e-05,0.000115,0,0.8764609
201,217,Clc1ccc(Cl)c(-c2cc(Cl)ccc2Cl)c1,35693-99-3,PCB 52,4.5e-05,1.51e-05,8.55e-05,0,0.74836034
202,218,Clc1ccc(Cl)cc1,106-46-7,"1,4-Dichlorobenzene",0.0105,0.00351,0.0199,0,0.73866636
203,219,O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1,101-20-2,Triclocarban,0.00739,0.00248,0.014,0,0.8868293
204,220,Clc1ccc2[nH]c3c(Br)cc(Cl)cc3c2c1,100125-05-1,"1-Bromo-3,6-dichloro-9H-carbazole",4.17e-06,1.4e-06,7.92e-06,0,0.8563664
205,221,Clc1ccc2[nH]c3ccc(Cl)cc3c2c1,5599-71-3,"3,6-Dichloro-9H-carbazole",0.000425,0.000142,0.000806,0,0.83592486
206,222,Clc1ccc2[nH]c3ccccc3c2c1,2732-25-4,3-Chloro-9H-carbazole,8.4e-06,2.82e-06,1.6e-05,0,0.93582064
207,223,Clc1ccc2[nH]nnc2c1,94-97-3,5-Chloro-benzotriazole,0.000104,3.5e-05,0.000198,0,0.82093495
208,224,ClC1CCCC(Br)(Br)C(Cl)(C2=CC=CC2)C(Cl)(Cl)C1(Cl)Cl,51936-55-1,Hexachlorocyclopentadienyl-dibromocyclooctane,3.34e-05,1.12e-05,6.35e-05,0,0.843332
209,225,O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl,13674-87-8,"Tris(1,3-dichloro-2-propyl)phosphate",0.0382,0.0128,0.0726,0,0.34511247
210,226,O=P(OCCCl)(OCCCl)OCCCl,115-96-8,Tris(2-chloroethyl) phosphate,0.0512,0.0172,0.0973,0,0.5858833
211,227,CN1CCCC1c1cccnc1,54-11-5,Nicotine,0.13,0.0436,0.247,0,0.89875567
212,228,CNC(=O)Oc1cccc2ccccc12,63-25-2,Carbaryl,1.4,0.469,2.65,0,0.9074903
213,229,COP(=O)(OC)OC=C(Cl)Cl,62-73-7,Dichlorvos,0.0284,0.00953,0.054,0,0.50990117
214,230,COP(=S)(OC)SCn1nnc2ccccc2c1=O,86-50-0,Azinphos,0.000435,0.000146,0.000825,0,0.89781934
215,231,COC(=O)c1c(Cl)c(Cl)c(C(=O)OC)c(Cl)c1Cl,1861-32-1,Chlorthal-dimethyl,0.000105,3.52e-05,0.000199,0,0.6231157
216,232,COC(=O)c1ccc(O)cc1,99-76-3,Methyl Paraben,0.0213,0.00715,0.0405,0,0.86425656
217,233,COC(=O)c1ccccc1C(=O)OC,131-11-3,Dimethyl phthalate,0.00135,0.000454,0.00257,0,0.90915275
218,234,COc1ccc(C(=O)c2ccccc2)c(O)c1,131-57-7,2-Hydroxy-4-methoxybenzophenone,0.00176,0.000591,0.00335,0,0.87235326
219,235,COc1ccc(C(=O)c2ccccc2O)c(O)c1,131-53-3,"2,2'-Dihydroxy-4-methoxybenzophenone",6.36e-05,2.13e-05,0.000121,0,0.87893397
220,236,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,72-43-5,Methoxychlor,0.00494,0.00166,0.00939,0,0.91101015
221,237,CSc1nc2ccccc2s1,615-22-5,2-Methylthio-benzothiazole,0.000789,0.000265,0.0015,0,0.8473929
222,238,Ic1ccc2[nH]c3ccc(I)cc3c2c1,57103-02-3,"3,6-Diiodocarbazole",1.97e-05,6.6e-06,3.73e-05,0,0.81755036
223,239,N#CSCSc1nc2ccccc2s1,21564-17-0,2-Thiocyanomethylthio-benzothiazole,0.000177,5.93e-05,0.000336,0,0.9454406
224,240,c1ccc(Nc2ccc3ccccc3c2)cc1,135-88-6,N-Phenyl-2-naphthylamine,0.000984,0.00033,0.00187,0,0.948774
225,241,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,754-91-6,Perfluorooctanesulfonamide,0.000184,6.17e-05,0.000349,0,0.8150397
226,242,Nc1ccc(-c2ccccc2)cc1,92-67-1,4-Aminobiphenyl,0.000301,0.000101,0.000571,0,0.8556008
227,243,Nc1ccc(Cl)cc1Cl,554-00-7,"2,4-Dichloroaniline",0.000117,3.93e-05,0.000222,0,0.79931945
228,244,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1763-23-1,Perfluorooctane sulfonic acid,0.00112,0.000375,0.00212,0,0.7473972
229,245,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,355-46-4,Perfluorohexane sulfonic acid,0.000512,0.000172,0.000971,0,0.7115187
230,246,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,375-73-5,Perfluorobutane sulfonic acid,0.000106,3.57e-05,0.000202,0,0.68581116
231,247,O=P(c1ccccc1)(c1ccccc1)c1ccccc1,791-28-6,Triphenylphosphine oxide,0.00153,0.000513,0.0029,0,0.9535079
232,248,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,115-86-6,Triphenyl phosphate ,0.0209,0.00703,0.0398,0,0.94251394
233,249,O=C(OC1CCCCC1)c1ccccc1C(=O)OC1CCCCC1,84-61-7,Dicyclohexyl phthalate,0.00189,0.000634,0.00359,0,0.866006
234,250,O=C(OCc1ccccc1)c1ccccc1C(=O)OCc1ccccc1,523-31-9,Dibenzyl phthalate,0.278,0.0931,0.527,0,0.8613031
235,251,O=C1CCCCCCCCCCCC(=O)OCCO1,105-95-3,Musk T,0.00368,0.00123,0.00698,0,0.96128595
236,252,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,376-06-7,Perfluorotetradecanoic acid,4.92e-05,1.65e-05,9.35e-05,0,0.7883105
237,253,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,72629-94-8,Perfluorotridecanoic acid,7.1e-05,2.38e-05,0.000135,0,0.7870858
238,254,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,307-55-1,Perfluorododecanoic acid,6.39e-05,2.14e-05,0.000121,0,0.7854706
239,255,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2058-94-8,Perfluoroundecanoic acid,0.000154,5.15e-05,0.000292,0,0.7658939
240,256,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,335-76-2,Perfluorodecanoic acid,0.000113,3.79e-05,0.000215,0,0.71354985
241,257,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,375-95-1,Perfluorononanoic acid,0.000211,7.09e-05,0.000401,0,0.6945745
242,258,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,335-67-1,Perfluorooctanoic acid,0.000558,0.000187,0.00106,0,0.6901214
243,259,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,375-85-9,Perfluoroheptanoic acid,0.000437,0.000147,0.00083,0,0.6768323
244,260,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,307-24-4,Perfluorohexanoic acid,0.000852,0.000286,0.00162,0,0.69509655
245,261,O=C(O)c1cccc(Oc2ccccc2)c1,3739-38-6,3-Phenoxybenzoic acid,0.00207,0.000695,0.00394,0,0.9477277
246,262,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,86386-73-4,Fluconazole,0.0,0.0,0.0,0,0.85513085
247,263,Oc1c(Br)cc(Br)cc1Br,118-79-6,"2,4,6-Tribromophenol",0.000112,3.75e-05,0.000212,0,0.7922844
248,264,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,87-86-5,Pentachlorophenol,0.0103,0.00347,0.0197,0,0.48019385
249,265,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,3380-34-5,Triclosan,0.0125,0.00419,0.0237,0,0.77144897
250,266,O=C(c1ccc(O)cc1O)c1ccc(O)cc1O,131-55-5,"2,2',4,4'-Tetrahydroxybenzophenone",0.000328,0.00011,0.000623,0,0.9341938
251,267,O=C(c1ccccc1)c1ccc(O)cc1O,131-56-6,"2,4-Dihydroxybenzophenone",0.000554,0.000186,0.00105,0,0.93190295
252,268,O=[N+]([O-])c1ccc(O)cc1,100-02-7,4-Nitrophenol,0.0273,0.00914,0.0518,0,0.9508554
253,269,O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1,80-09-1,Bisphenol S,0.00557,0.00187,0.0106,0,0.6239455
254,270,O=C(c1ccccc1)c1ccc(O)cc1,1137-42-4,4-Hydroxybenzophenone,0.000226,7.58e-05,0.000429,0,0.92519134
255,271,O=C(OCc1ccccc1)c1ccc(O)cc1,94-18-8,Benzyl Paraben,1.17e-05,3.93e-06,2.22e-05,0,0.9418972
256,272,Oc1ccc(C(c2ccc(O)cc2)(C(F)(F)F)C(F)(F)F)cc1,1478-61-1,Bisphenol AF,2.78e-05,9.33e-06,5.28e-05,0,0.852539
257,273,Oc1ccc(C2(c3ccc(O)cc3)CCCCC2)cc1,843-55-0,Bisphenol Z,2.34e-05,7.85e-06,4.44e-05,0,0.8286914
258,274,Oc1ccccc1-c1ccccc1,90-43-7,2-Phenylphenol,0.0067,0.00225,0.0127,0,0.8963001
259,275,Oc1ccccc1Cc1ccccc1O,2/9/2467,Bisphenol F,0.00211,0.000709,0.00402,0,0.85314614
260,276,Oc1nc2ccccc2s1,934-34-9,2-Hydroxybenzothiazole,0.0165,0.00553,0.0313,0,0.8364123
261,277,On1nnc2ccccc21,2592-95-2,1-Hydroxy-benzotriazole,3.81e-05,1.28e-05,7.24e-05,0,0.952634
262,278,c1ccc2scnc2c1,95-16-9,Benzothiazole,0.00212,0.000711,0.00403,0,0.9466841
263,280,Brc1c(Br)c(Br)c2c(c1Br)Oc1c(Br)c(Br)c(Br)c(Br)c1O2,2170-45-8,OctBDD,1.49e-06,5e-07,2.83e-06,0,0.6729544
264,281,Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)cc1Br,68631-49-2,BDE 153,0.0015,0.000503,0.00285,0,0.8527228
265,282,Brc1cc2oc3c(Br)c(Br)c(Br)c(Br)c3c2cc1Br,129880-08-6,"1,2,3,4,7,8-HxBDF",2.53e-05,8.5e-06,4.81e-05,0,0.8411634
266,283,Brc1cc2oc3c(Br)c(Br)c(Br)cc3c2cc1Br,131166-92-2,"2,3,4,7,8-PeBDF",1.02e-06,3.43e-07,1.94e-06,0,0.90142703
267,284,Brc1cc2oc3cc(Br)c(Br)c(Br)c3c2cc1Br,107555-93-1,"1,2,3,7,8-PeBDF",1.33e-05,4.47e-06,2.53e-05,0,0.86935073
268,285,Brc1cc2oc3cc(Br)c(Br)cc3c2cc1Br,67733-57-7,"2,3,7,8-TeBDF",1.07e-05,3.58e-06,2.03e-05,0,0.8566129
269,286,Brc1cc2c(cc1Br)Oc1cc(Br)c(Br)cc1O2,50585-41-6,"2,3,7,8,-TeBDD",4.52e-07,1.51e-07,8.57e-07,0,0.82478833
270,287,Brc1ccc(Oc2c(Br)cc(Br)cc2Br)c(Br)c1,189084-64-8,BDE100,0.00283,0.000951,0.00538,0,0.91709036
271,288,Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,60348-60-9,BDE 99,0.0123,0.00413,0.0234,0,0.8364959
272,289,Brc1ccc(Oc2ccc(Br)cc2Br)c(Br)c1,5436-43-1,BDE 47,0.0123,0.00412,0.0233,0,0.81548107
273,290,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2043-47-2,4:2 Fluorotelomer alcohol,8.02e-08,2.69e-08,1.52e-07,0,0.62755746
274,291,Brc1cc(Oc2c(Br)cc(Br)c(Br)c2Br)c(Br)c(Br)c1Br,446255-39-6,BDE 196,9.61e-05,3.22e-05,0.000183,0,0.91966647
275,292,Brc1cc(Br)c(Oc2c(Br)cc(Br)c(Br)c2Br)c(Br)c1Br,117964-21-3,BDE 197,0.000109,3.65e-05,0.000206,0,0.9251595
276,293,Brc1cc(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)cc1Br,337513-72-1,BDE 203,5.85e-05,1.96e-05,0.000111,0,0.9010802
277,294,Brc1cc(Br)c(Oc2c(Br)cc(Br)c(Br)c2Br)cc1Br,207122-16-5,BDE 183,0.00028,9.41e-05,0.000533,0,0.9501247
278,295,Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,207122-15-4,BDE 154,0.00131,0.000438,0.00248,0,0.9174883
279,296,Brc1cc2c(c(Br)c1Br)Oc1c(cc(Br)c(Br)c1Br)O2,110999-46-7,"1,2,3,7,8,9-HxBDD",1.71e-07,5.72e-08,3.24e-07,0,0.88040286
280,297,Brc1cc2c(c(Br)c1Br)Oc1c(Br)c(Br)c(Br)c(Br)c1O2,110999-47-8,"1,2,3,4,6,7,8-HpBDD",7.44e-07,2.5e-07,1.41e-06,0,0.785797
281,298,Clc1cc2oc3cc(Cl)c(Cl)c(Cl)c3c2c(Cl)c1Cl,72918-21-9,"1,2,3,7,8,9-HxCDF",1.9e-07,6.37e-08,3.6e-07,0,0.70699084
282,299,Clc1cc2oc3c(Cl)c(Cl)c(Cl)c(Cl)c3c2c(Cl)c1Cl,55673-89-7,"1,2,3,4,7,8,9-HpCDF",5.4e-07,1.81e-07,1.03e-06,0,0.5605741
283,300,Brc1cc2c(cc1Br)Oc1c(cc(Br)c(Br)c1Br)O2,109333-34-8,"1,2,3,7,8-PeBDD",7.8e-08,2.62e-08,1.48e-07,0,0.9279847
284,301,Clc1cc2c(cc1Cl)Oc1c(cc(Cl)c(Cl)c1Cl)O2,40321-76-4,"1,2,3,7,8-PeCDD",1.27e-07,4.27e-08,2.41e-07,0,0.8582871
285,302,Clc1cc2oc3c(Cl)c(Cl)c(Cl)c(Cl)c3c2cc1Cl,70648-26-9,"1,2,3,4,7,8-HxCDF",6.42e-07,2.16e-07,1.22e-06,0,0.66100746
286,303,Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,1746-01-6,"2,3,7,8-TeCDD",9.72e-08,3.26e-08,1.85e-07,0,0.80330336
287,304,Clc1cc2c(oc3c(Cl)c(Cl)c(Cl)cc32)c(Cl)c1Cl,60851-34-5,"2,3,4,6,7,8-HxCDF",8.18e-07,2.75e-07,1.55e-06,0,0.6508603
288,305,Brc1ccc(Oc2ccc(Br)c(Br)c2)c(Br)c1,189084-61-5,BDE 66,0.000513,0.000172,0.000975,0,0.8310711
289,306,Brc1ccc(Oc2ccc(Br)cc2Br)cc1,41318-75-6,BDE 28,0.000149,5.01e-05,0.000283,0,0.8517384
290,307,Brc1ccc(Oc2ccccc2Br)c(Br)c1,147217-75-2,BDE17,3.84e-05,1.29e-05,7.3e-05,0,0.88336265
291,308,Clc1c(Cl)c(Cl)c2c(oc3ccccc32)c1Cl,24478-72-6,"2,3,7,8-TeCDF",4.93e-07,1.65e-07,9.37e-07,0,0.7826
292,309,ClC1=C(Cl)C2(Cl)C3CCC4C(CCC3C1(Cl)C2(Cl)Cl)C1(Cl)C(Cl)=C(Cl)C4(Cl)C1(Cl)Cl,135821-74-8,Anti-Dechlorane Plus,7.22e-05,2.42e-05,0.000137,0,0.8018285
293,310,ClC1=C(Cl)C2(Cl)C3CCC4C(CCC3C1(Cl)C2(Cl)Cl)C1(Cl)C(Cl)=C(Cl)C4(Cl)C1(Cl)Cl,135821-03-3,Syn-Dechlorane Plus,5.16e-05,1.73e-05,9.81e-05,0,0.8018285
294,311,C1=Cc2cc3cccc4ccc5ccc1c2c5c43,27208-37-3,"Cyclopenta[c,d]pyrene",0.00071,0.000238,0.00135,0,0.9171176
295,312,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,191-24-2,"Benzo(g,h,i)perylene",0.00609,0.00204,0.0116,0,0.9050365
296,313,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,50-32-8,Benzo(a)pyrene?,0.00645,0.00216,0.0123,0,0.9165107
297,314,c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,207-08-9,"Benzo(b,k)fluoranthene",0.00589,0.00197,0.0112,0,0.94793344
298,315,c1ccc2ccccc2c1,91-20-3,Naphthalene?,0.0025,0.000838,0.00474,0,0.827409
299,316,CC(C)(C)CC(C)(C)c1ccc(OCCOCCO)cc1,2315-61-9,Octylphenol diethoxylate,0.00538,0.0018,0.0102,0,0.902093
300,317,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,111-01-3,Squalane/Perhydrosqualene,0.000401,0.000135,0.000762,0,0.84768605
301,318,CC(=O)C1(C)CC2=C(CCCC2(C)C)CC1C,54464-57-2,OTNE,0.00388,0.0013,0.00737,0,0.94782656
302,319,CC1COCc2cc3c(cc21)C(C)(C)C(C)C3(C)C,1222-05-5,HHCB-lac,0.00505,0.00169,0.00958,0,0.8613036
303,320,CCC(C)(CCC(C)C)c1ccc(OCCOCCO)cc1,1119449-38-5,Nonylphenol diethoxylate,0.0858,0.0288,0.163,0,0.9164042
304,321,CCCCC(CC)COP(=O)(Oc1ccccc1)Oc1ccccc1,1241-94-7,2-Ethylhexyl-diphenyl phosphate,0.0733,0.0246,0.139,0,0.9066765
305,322,CCCCC(CC)COC(=O)COc1ccc(Cl)cc1C,29450-45-1,MCPA-2-ethylhexyl,9.19e-05,3.08e-05,0.000175,0,0.88078356
306,323,CCCCCCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,68515-40-2,Santicizer??261,0.0207,0.00695,0.0394,0,0.9315458
307,324,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,72-54-8,"P,p-DDD",6.13e-05,2.06e-05,0.000116,0,0.74163306
308,325,Clc1c(Cl)c(Cl)c2c(oc3c(Cl)c(Cl)c(Cl)c(Cl)c32)c1Cl,39001-02-0,OCDF,4.33e-06,1.45e-06,8.21e-06,0,0.22178142
309,326,Clc1cc2c(oc3c(Cl)c(Cl)c(Cl)c(Cl)c32)c(Cl)c1Cl,67562-39-4,"1,2,3,4,6,7,8-HpCDF",3.91e-06,1.31e-06,7.42e-06,0,0.5208555
310,327,Clc1cc2c(c(Cl)c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,35822-46-9,"1,2,3,4,6,7,8-HpCDD",8.84e-06,2.97e-06,1.68e-05,0,0.6257823
311,328,Clc1cc2c(cc1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,39227-28-6,"1,2,3,4,7,8-HxCDD",2.39e-07,8.03e-08,4.55e-07,0,0.7905951
312,329,Clc1cc2c(oc3cc(Cl)c(Cl)c(Cl)c32)c(Cl)c1Cl,57117-44-9,"1,2,3,6,7,8-HxCDF",9.33e-07,3.13e-07,1.77e-06,0,0.690412
313,330,Clc1cc2oc3c(Cl)c(Cl)c(Cl)cc3c2cc1Cl,57117-31-4,"2,3,4,7,8-PeCDF",8.89e-07,2.98e-07,1.69e-06,0,0.8354899
314,331,Clc1cc2oc3cc(Cl)c(Cl)c(Cl)c3c2cc1Cl,57117-41-6,"1,2,3,7,8-PeCDF",3.13e-07,1.05e-07,5.95e-07,0,0.80422574
315,332,Clc1cc2c(c(Cl)c1Cl)Oc1c(cc(Cl)c(Cl)c1Cl)O2,19408-74-3,"1,2,3,7,8,9-HxCDD",1.2e-06,4.03e-07,2.28e-06,0,0.8326344
316,333,Clc1cc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)cc1Cl,35065-28-2,PCB 138,0.00018,6.02e-05,0.000341,0,0.94608647
317,334,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,72-55-9,"P,p-DDE",0.00126,0.000422,0.00239,0,0.77087295
318,335,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,50-29-3,"P,p-DDT",0.00123,0.000413,0.00234,0,0.8750798
319,336,Clc1ccc(C(c2ccccc2Cl)C(Cl)(Cl)Cl)cc1,789-02-6,"O,p-DDT",0.000452,0.000152,0.000858,0,0.8780134
320,337,Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C,23103-98-2,Primicarb,0.000435,0.000146,0.000825,0,0.81148684
321,338,COP(=S)(OC)Oc1c(Cl)cc(C)cc1Cl,57018-04-9,Toclofos,0.000201,6.73e-05,0.000381,0,0.7044082
