,Unnamed: 0,SMILES,CAS,Name,Exposure (ng/day),Min Exposure (ng/day),Max Exposure (ng/day),ACE2,Pred_label
32,48,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,556-67-2,Octamethylcyclotetrasiloxane,0.000421,0.000141,0.0008,0,0.87216973
33,49,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1,541-05-9,Hexamethylcyclotrisiloxane,0.000196,6.57e-05,0.000372,0,0.87510514
34,50,c1ccc2c(c1)Cc1cc3ccccc3cc1-2,243-17-4,"2,3-Benzofluorene",0.00182,0.000611,0.00346,0,0.9272028
35,51,c1ccc2c(c1)Cc1ccccc1-2,86-73-7,Fluorene,0.00282,0.000947,0.00536,0,0.88871956
36,52,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,191-07-1,Coronene,0.00177,0.000595,0.00337,0,0.893178
37,53,c1cc2ccc3cccc4ccc(c1)c2c34,129-00-0,Pyrene,0.0118,0.00394,0.0223,0,0.86594623
38,54,C1=Cc2cccc3cccc1c23,208-96-8,Acenaphthylene,0.00133,0.000447,0.00253,0,0.9009037
39,55,c1cc2c3c(cccc3c1)CC2,83-32-9,Acenaphthene,0.00669,0.00224,0.0127,0,0.9473151
40,56,c1ccc([Sn](c2ccccc2)c2ccccc2)cc1,892-20-6,Triphenyltin,0.00015,5.05e-05,0.000286,0,0.9055076
41,57,c1ccc(-c2ccc3ccccc3c2)cc1,612-94-2,2-Phenylnaphthalene,0.00115,0.000387,0.00219,0,0.81461406
42,58,c1ccc2c(c1)-c1ccc3ccc4cccc5cc-2c1c3c45,99520-61-3,"Indeno(1,2,3-cd)pyrene",0.0068,0.00228,0.0129,0,0.92566943
43,59,c1ccc2c(c1)c1cccc3ccc4cccc2c4c31,192-97-2,Benzo(e)pyrene,0.00422,0.00141,0.00801,0,0.8829004
44,60,c1ccc2c(c1)-c1cccc3cccc-2c13,206-44-0,Fluoranthene,0.0162,0.00543,0.0308,0,0.882011
45,61,c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,205-99-2,Benzo(b)fluoranthene,0.0156,0.00523,0.0296,0,0.9131366
46,62,c1ccc2c3c(ccc2c1)-c1cccc2cccc-3c12,205-82-3,Benzo(j)fluoranthene,0.00844,0.00283,0.016,0,0.90052867
47,63,c1ccc2c(c1)ccc1c3ccccc3ccc21,218-01-9,Chrysene,0.0113,0.00378,0.0214,0,0.8704472
48,64,c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,53-70-3,"Dibenz[a,h]anthracene",0.00304,0.00102,0.00577,0,0.85972327
49,65,c1ccc2c(c1)ccc1ccc3ccccc3c12,195-19-7,Benzo(c)phenanthrene,0.000652,0.000219,0.00124,0,0.91909224
50,66,c1ccc2c(c1)ccc1ccccc12,85-01-8,Phenanthrene,0.0119,0.004,0.0226,0,0.82951146
