canonical_smiles,label_ACE2,DataType
CN(C(=O)C(Cl)Cl)c1ccc(OC(=O)c2ccco2)cc1,1.0,L1000
COc1ccc(CN(C)C[C@H]2OCCCC[C@@H](C)Oc3ccc(NC(=O)C4CCCCC4)cc3C(=O)N([C@H](C)CO)C[C@@H]2C)cc1,1.0,L1000
O=C1NC(=S)S/C1=C/c1cc(Br)ccc1OCc1ccccc1Br,1.0,L1000
FC(F)(F)c1cccc(-c2noc(-c3cc(-c4ccccc4)c(C(F)(F)F)s3)n2)c1,1.0,L1000
O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,1.0,L1000
CS(=O)(=O)c1ccc(-c2coc(O)c2-c2ccccc2)cc1,1.0,L1000
CO[C@H](CN(C)S(=O)(=O)c1ccccc1)[C@H](C)CN(Cc1ccccc1Cl)[C@@H](C)CO,1.0,L1000
Cc1ccc(C=C2CNCC(=Cc3ccc(C)cc3)C2=O)cc1,1.0,L1000
CCCn1ncc(CN2CCCC(C(=O)c3cccc(OC(C)C)c3)C2)c1C,1.0,L1000
COc1ccccc1CNC(=O)C[C@H]1C[C@H]2c3cc(NC(=O)CN(C)C)ccc3O[C@H]2[C@H](CO)O1,1.0,L1000
OCCN=CCNc1ccc(NCCNCCO)c2c(O)c3c(O)ccc(O)c3c(O)c12,1.0,L1000
Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,1.0,L1000
c1ccc(C2CN3CCSC3=N2)cc1,1.0,L1000
CC1(C)CCC(C)(C)c2cc(C(=O)Nc3ccc(C(=O)O)cc3)ccc21,1.0,L1000
C[C@@H]1CN([C@H](C)CO)C(=O)c2cccc(NC(=O)NC3CCCCC3)c2O[C@@H]1CN(C)Cc1ccc(C(=O)O)cc1,1.0,L1000
O=C(CBr)NCCc1ccc2ccccc2c1,1.0,L1000
CCOC(=O)C1C(CN2CCc3ccccc32)=NC(=O)NC1c1ccc(F)cc1,1.0,L1000
CN1c2ccc(C#Cc3cccnc3)cc2[C@@H]2[C@@H](CCN2S(=O)(=O)c2ccccc2F)[C@H]1CO,1.0,L1000
CC(C)NC(=O)Nc1ccc2c(c1)CC(=O)N([C@@H](C)CO)C[C@H](C)[C@H](CN(C)C)O2,1.0,L1000
OC[C@H]1[C@@H](c2ccccc2)C2(CN(Cc3nccs3)C2)N1CCC(F)(F)F,1.0,L1000
